GENE NAMES	CLST_A	CLST_B	CLST_C
Grm2	6.39	1.96	0.18
St3gal1	2.98	0.81	0.18
C1ql3	6.66	2.05	0
Kcnc4	6.14	3.03	0.39
Cebpd	3.54	1.11	0.08
C1ql2	7.66	0.82	0
Trpc6	5.95	0.53	0.08
Pter	5.77	1.18	0.29
Kif26b	4.88	1.04	0.12
Gsg1l	4.08	1.99	1.28
Igfbp5	5.49	0.83	0
Fam84a	6.56	4.1	0.7
Lrtm2	5.86	1.31	0.65
Ehd1	6.24	2.47	0.99
Gfra1	4.59	1.31	0.14
Calb1	6.6	2.3	0.84
Doc2b	4.44	2.55	0
Lct	5.3	0.57	0.27
Pde1b	6.32	2.32	1.11
Dock10	5.77	1.16	0.44
Rasl10a	6.75	3.76	0
St18	5.27	1.44	0.41
Jun	6.44	2.88	0.87
Dbpht2	6.05	3.07	2.81
Pcdh8	5.02	1.39	1.59
Slc30a3	7.32	3.41	2.4
Mapk3	6.16	1.6	1.01
Bhlhe22	3.65	0.98	0.78
Sipa1l2	5.55	1.92	0.89
Gabrd	4.69	1.03	0
Syt17	6.03	3.97	0.23
Stxbp6	6.24	0.91	1.38
Lingo2	6	3.91	0.88
Pde7b	4.38	0.61	0
Anp32a	5.85	2.74	2.3
Gprin1	4.54	2.37	1.49
Cacng3	4.98	3.07	0.8
Slc39a6	5.89	2.16	2.51
Limd2	6.97	4.14	3.61
Plekha2	5.72	0.41	2.89
Marcks	5.35	2.06	0.83
Rab40b	5.06	2.42	1.86
Npnt	5.01	0.39	2.14
Ppp1r1a	6.67	2.99	3.97
B4galt5	3.72	1	1.32
Chst15	5.69	3.09	2.7
Crlf1	4.69	0.74	0
Dsp	4.41	0.21	0.05
Dgkh	6.28	2.61	3.64
